Image_Name,Image_height,Image_width,ROI_ratio
CHNCXR_0001_0,2919,3000,0.2454912641315519
CHNCXR_0002_0,2951,3000,0.21671760984976843
CHNCXR_0003_0,2945,2987,0.2392665898576912
CHNCXR_0004_0,2933,3000,0.22292260484145926
CHNCXR_0005_0,2933,3000,0.2382090010228435
CHNCXR_0006_0,2948,2775,0.2305602210079822
CHNCXR_0007_0,2320,2306,0.35282172443700094
CHNCXR_0008_0,2937,3000,0.1665739416638293
CHNCXR_0009_0,2942,2516,0.21065925865082102
CHNCXR_0010_0,2947,3000,0.1551612939712702
CHNCXR_0011_0,2921,3000,0.21103959831108068
CHNCXR_0012_0,2959,3000,0.26331699898614397
CHNCXR_0013_0,2937,3000,0.21343922369765067
CHNCXR_0014_0,2919,3000,0.19879399337672718
CHNCXR_0015_0,2941,3000,0.22571902980845518
CHNCXR_0016_0,2943,3000,0.20317249971684223
CHNCXR_0017_0,2908,2789,0.23486254459082967
CHNCXR_0018_0,2907,2991,0.2897088237536828
CHNCXR_0019_0,2941,3000,0.252790094072311
CHNCXR_0020_0,2555,2760,0.31455259650018436
CHNCXR_0021_0,2953,2868,0.25297820196561566
CHNCXR_0022_0,2951,3000,0.2696527730712753
CHNCXR_0023_0,2937,3000,0.24618034275337647
CHNCXR_0024_0,2951,3000,0.2218375691855868
CHNCXR_0026_0,2933,3000,0.21235594953972042
CHNCXR_0027_0,2925,2997,0.19999224295520593
CHNCXR_0028_0,2941,3000,0.320331293210926
CHNCXR_0029_0,2935,3000,0.15878069278818852
CHNCXR_0030_0,2461,2357,0.3370614681953192
CHNCXR_0031_0,2939,2989,0.2499128311122864
CHNCXR_0032_0,2927,3000,0.23736692859583192
CHNCXR_0033_0,2957,3000,0.2625055799797092
CHNCXR_0034_0,2600,2395,0.16546394732616027
CHNCXR_0035_0,2933,3000,0.17608694169792022
CHNCXR_0041_0,2481,2498,0.3339743943482073
CHNCXR_0042_0,2943,3000,0.20963178162872353
CHNCXR_0043_0,2939,3000,0.19617103323125779
CHNCXR_0044_0,2308,2308,0.2691919673564033
CHNCXR_0045_0,2941,3000,0.15700022668026747
CHNCXR_0046_0,2931,3000,0.284254293187763
CHNCXR_0047_0,2927,2699,0.33993900991813514
CHNCXR_0048_0,2949,3000,0.22111800610376398
CHNCXR_0049_0,2931,2996,0.15943343541416988
CHNCXR_0050_0,2947,3000,0.2086495871507748
CHNCXR_0051_0,2935,2985,0.20732681008677686
CHNCXR_0052_0,2548,2419,0.2543846043521234
CHNCXR_0053_0,2890,2531,0.20681801714108378
CHNCXR_0054_0,2933,3000,0.21355256279122628
CHNCXR_0055_0,2941,2739,0.20542272331885733
CHNCXR_0056_0,2947,3000,0.16286992421671756
CHNCXR_0057_0,2941,3000,0.18929581774906495
CHNCXR_0058_0,2937,3000,0.1458240835319487
CHNCXR_0059_0,2947,3000,0.1915277683519964
CHNCXR_0060_0,2931,3000,0.1811370408279313
CHNCXR_0061_0,2955,3000,0.2897872532430908
CHNCXR_0062_0,2943,3000,0.21552825914599616
CHNCXR_0063_0,2939,3000,0.2783670182601792
CHNCXR_0064_0,2943,3000,0.20580813229131273
CHNCXR_0066_0,2941,3000,0.14258789527371643
CHNCXR_0067_0,2941,2996,0.24700632238201314
CHNCXR_0068_0,2939,3000,0.18920573891346262
CHNCXR_0069_0,2406,2631,0.2372560616702258
CHNCXR_0070_0,2617,2486,0.30332875182412417
CHNCXR_0071_0,2452,2384,0.23613239979416883
CHNCXR_0072_0,2731,2733,0.27210492531776276
CHNCXR_0073_0,2949,3000,0.16584684073697298
CHNCXR_0074_0,989,1255,0.12792913281152438
CHNCXR_0075_0,1110,1233,0.15313050276553927
CHNCXR_0076_0,1136,1250,0.14926549295774647
CHNCXR_0077_0,2939,3000,0.18976930928887376
CHNCXR_0078_0,2967,3000,0.24822660375238736
CHNCXR_0079_0,2943,3000,0.2391698946653075
CHNCXR_0080_0,2955,3000,0.18497191201353638
CHNCXR_0081_0,2947,3000,0.3149996606718697
CHNCXR_0082_0,2945,3000,0.2280281833616299
CHNCXR_0083_0,2947,3000,0.19106424612600384
CHNCXR_0084_0,2944,2739,0.2644172291934537
CHNCXR_0085_0,2949,3000,0.21349892618966881
CHNCXR_0086_0,2951,3000,0.16530227041680787
CHNCXR_0087_0,3001,2679,0.29244388986177183
CHNCXR_0088_0,2954,2788,0.2617053063278253
CHNCXR_0089_0,2685,2674,0.23868495714996052
CHNCXR_0090_0,2931,2786,0.2250359611088537
CHNCXR_0091_0,2968,2587,0.32661050431506483
CHNCXR_0092_0,2652,2796,0.24450478166395864
CHNCXR_0093_0,2960,2776,0.3048618953968378
CHNCXR_0094_0,2945,3000,0.24202059988681382
CHNCXR_0095_0,2949,3000,0.27080083644173164
CHNCXR_0096_0,2080,2119,0.3080834573637783
CHNCXR_0097_0,2203,2260,0.3992827560165342
CHNCXR_0098_0,2951,3000,0.18756342482774202
CHNCXR_0099_0,2804,2415,0.2670458942120544
CHNCXR_0100_0,2562,2419,0.2880445884600155
CHNCXR_0101_0,3001,3000,0.2385183827613018
CHNCXR_0102_0,2405,2128,0.27228127491285387
CHNCXR_0103_0,2946,2238,0.29247803932203553
CHNCXR_0104_0,2989,2990,0.2599759877633821
CHNCXR_0105_0,2988,2602,0.23131123005987567
CHNCXR_0106_0,2943,3000,0.2535385660890248
CHNCXR_0107_0,2317,2464,0.28401874344904127
CHNCXR_0108_0,2953,2897,0.2993043354049479
CHNCXR_0109_0,2942,2369,0.18649167426873114
CHNCXR_0110_0,2946,2715,0.20739223768783469
CHNCXR_0111_0,2489,2609,0.2721587865103966
CHNCXR_0112_0,2667,2589,0.285497192341108
CHNCXR_0113_0,2876,2724,0.2889382534887948
